role,scope_prefix,permission
user,null,can-login
user,null,scenarios.read
user,null,countries.read
user,null,modelling-groups.read
user,null,models.read
user,null,touchstones.read
user,null,responsibilities.read
user,null,users.read
user,null,estimates.read
touchstone-preparer,null,diseases.write
touchstone-preparer,null,vaccines.write
touchstone-preparer,null,scenarios.write
touchstone-preparer,null,countries.write
touchstone-preparer,null,touchstones.prepare
touchstone-preparer,null,responsibilities.write
touchstone-preparer,null,coverage.read
touchstone-reviewer,null,touchstones.open
touchstone-reviewer,null,coverage.read
coverage-provider,null,coverage.read
coverage-provider,null,coverage.write
user-manager,null,users.create
user-manager,null,users.edit-all
user-manager,null,roles.read
user-manager,roles.write
user-manager,null,modelling-groups.write
estimates-reviewer,null,estimates.review
estimates-reviewer,null,estimates.read-unfinished
member,modelling-group,estimates.read-unfinished
member,modelling-group,coverage.read
uploader,modelling-group,estimates.write
submitter,modelling-group,estimates.submit
user-manager,modelling-group,modelling-groups.manage-members
user-manager,modelling-group,users.create
user-manager,modelling-group,roles.write
